;review_text;sentiment;price;service;food
109;the rusulka vanilla stout is a good thick sweet stout;;;;
110;and the ironclad is a top notch ipa;;;;
111;the only big miss on their beers i've had is the big chuck barleywine;;;;
112;it could probably benefit greatly with age but at this age all there is to taste is the alcohol;;;;
113;nonetheless i had enough to convince me that the other beers i hadn't had from them would be top notch;;;;
114;and they are!;;;;
115;the reason for the 2 stars should not reflect the quality of the brewers they obviously know their craft well!;;;;
116;the servers are great and friendly;;;;
117;but relying on two servers to wait on 100+ customers says a lot about how inexperienced management must be;;;;
118;in fact after waiting 15 mins at a dirty table i was finally able to track down someone i guessed was an employee to let them know we were even there!;;;;
119;after another 5+ mins the gm finally stopped over to take our drink order;;;;
120;the smugness of this guy was amazing;;;;
121;the thought of offering a simple apology never seemed to enter into his head;;;;
122;this is the time a server finally stopped by to pick up the non-final check left by the party before us;;;;
123;who didn't seem very pleased when leaving;;;;
124;the toast & cheese was good but by the time we were able to dig into their heartiest offering of food saltines and butter may have been equally pleasing;;;;
125;it's a giant best buy with 66 registers;;;;
126;i don't get it;;;;
127;what's the big deal about this place??;;;;
128;like walking back in time every saturday morning my sister and i was in a bowling league and after we were done we'd spend a few quarters playing the pin ball machines until our mother came to pick us up;;;;
129;"my sister was daring and play the machines hard she was afraid of that ""tilt"" showing up and freezing the game";;;;
130;i on the other hand was a bit more gentler and wanted to make sure i got my quarter's worth;;;;
131;this place has rows and rows of machines some are really old and some are more of a mid 80's theme;;;;
132;there is even a ms pac man!  it was fun to spend an afternoon playing the machines and remembering all the fun of my early teen years;;;;
133;walked in around 4 on a friday afternoon we sat at a table just off the bar and walked out after 5 min or so;;;;
134;don't even think they realized we walked in;;;;
135;however everyone at the bar noticed we walked in!!! service was non existent at best;;;;
136;not a good way for a new business to start out;;;;
137;oh well the location they are at has been about 5 different things over the past several years so they will just be added to the list;;;;
138;smdh!!!;;;;
139;wow;;;;
140;so surprised at the one and two star reviews!  we started with the most tender calamari;;;;
141;although the marinara sauce was a bit bland but a touch of salt made it just right;;;;
142;my husband had the veal with peppers and said it was so delicious and tender;;;;
143;the mashed potatoes were perfect;;;;
144;i had the salmon diablo which was also delicious;;;;
145;our salad was beautiful! dressing was served on the salad and it was a nice amount;;;;
146;we ended our delicious meal with a piece of tiramisu;;;;
147;our server matt was right on!! very pleasant and knowledgeable about the menu;;;;
148;our appetizer salad and entrees were timed perfectly;;;;
149;i love salad and did not mind that my entree was served while i was still eating it! no problem it let my dinner cool to just the right temp for me to eat it comfortably;;;;
150;i wonder sometimes if people just don't appreciate relaxing and taking time to eat a wonderful and beautifully prepared meal;;;;
151;a wonderful atmosphere;;;;
152;so relaxing;;;;
153;the chairs are super comfortable too!!! we will certainly be back;;;;
154;give it a try;;;;
155;don't  always go by the reviews;;;;
156;a bottle of riesling calamari app two delicious entrees and dessert for $92!;;;;
157;well with it;;;;
158;michael from red carpet vip is amazing ! i reached out because i needed help planning my soon to be sister in law's bachelorette;;;;
159;it was a group of 10 girls so i was a little overwhelmed but michael saved the day! everything was super smooth and easy! we got good deals and had the best time ever! we booked hotel and a bachelorette package for a great price;;;;
160;i have saved contact info because i will for sure reach out again on next vegas trip!!!;;;;
161;i cannot believe how things have changed in 3 years;;;;
162;i picked up duck congee sometime in the winter when my hubby was sick;;;;
163;i was very disappointed because the ginger fish sauce tasted like it had gone bad (it should never be bitter);;;;
164;today my hubby wanted to eat there since he was craving the duck congee and most places don't serve the duck & coleslaw side;;;;
165;we waited about 10 minutes to get our menu;;;;
166;after we placed our orders we waited another 5 minutes to get the tea that most places bring with the menu;;;;
167;i could go on with the details but the gist of the story is they were understaffed or the staff was slow;;;;
168;the worst part of it was that the service;;;;
169;the servers make us feel bad for asking for anything (like when they took our order);;;;
170;we had arrived and placed our order before another couple bside us at least 10 minutes ahead but somehow this couple received their pho before mine;;;;
171;they were almost done eating their pho before mine came out;;;;
172;you can't really find anything wrong with this place the pastas and pizzas are both amazing and high quality the price is very reasonable the owner and the staff are very friendly if you're in downtown check this place out a lot of people think just because it's downtown there are lots of options around but that's not always the case as there is also a lot of poor quality food in downtown as well;;;;
173;great lunch today;;;;
174;staff was very helpful in assisting with selections and knowledgeable on the ingredients;;;;
175;we enjoyed the bbq chicken with tika masala sauce and really good naan bread;;;;
176;the biryani with chicken was also yummy! fun to see the food being prepared in the tandoori ovens;;;;
177;great addition to the fast casual scene in cleveland;;;;
178;i love chinese food and i love mexican food;;;;
179;what can go wrong? a couple of things;;;;
180;"first things first this place is more of a ""rice bowl"" kind of place";;;;
181;i thought it was going to be more diverse as far as the menu goes but its mainly rice bowls you get with different kinds of meats;;;;
182;the ordering was a little confusing at first but one of the employees helped us out and i got the 2-item bowl and got the jade chicken and hengrenade chicken with all rice(jerk);;;;
183;i also ordered a jade chicken quesadilla on the side;;;;
184;i'm gonna admit this place looks kinda dirty;;;;
185;"i don't think arizona uses those health department letter grade system like california does but if i were to just judge by how it looked inside i'd give it a ""c"" grade lol";;;;
186;we waited for about 15 minutes or so and finally got our food;;;;
187;we took it to go and ate at our hotel room;;;;
188;mmmm;;;;
189;the food was just alright;;;;
190;the jade chicken was nothing special;;;;
191;it tasted like any generic chinese fast food orange chicken/sesame chicken variant;;;;
192;the hengrenade chicken although was the less spicier version of the jerk chicken was still pretty spicy for me;;;;
193;just be warned the jerk chicken is super spicy;;;;
194;if you aren't sure ask for a sample at the restaurant before ordering but it was way too spicy for me;;;;
195;the jade chicken quesadilla was decent but nothing special;;;;
196;just imagine orange chicken in between a tortilla and cheese;;;;
197;a friend of mine ordered a jade chicken burrito and we were confused when we pulled it out of the bag because it was literally the size of mcdonald's apple pie;;;;
198;if you order the burrito be warned that it's a burrito for gnomes and smurfs but he said it was tasty;;;;
199;they provide a snicker doodle sugar cookie for each meal and it was decent again nothing special;;;;
200;not gonna lie the next day my stomach felt like a little mexican dude and chinese dude were wrestling and throwing molotov cocktails inside;;;;
201;i used the bathroom like 5 times;;;;
202;i don't recommend eating this place if you have a lot to do the next day;;;;
203;we've been a huge slim's fan since they opened one up in texas about two years ago when we used to live there;;;;
204;this place never disappoints;;;;
205;they even have great salads and grilled chicken;;;;
206;plus they have fresh brewed sweet tea it's the best!;;;;
207;good selection of classes of beers and mains;;;;
208;i've been here twice;;;;
209;first time i had the fried chicken;;;;
210;it was delicious but be warned extremely salty;;;;
211;i couldn't even finish the last piece of chicken after experiencing a salt overload;;;;
212;second time we came on a wednesday;;;;
213;we didn't know it was bbq night where they have a completely different menu and don't offer anything from their original vegetarian-friendly menu;;;;
214;this menu has one vegetarian-friendly option - an eggplant sandwich;;;;
215;the vegetarian in my party said it was awful;;;;
216;also on bbq night you choose 2 sides;;;;
217;except they were out of all their sides except 2 - fries and potato salad;;;;
218;i can't say i was thrilled to have carb heavy sides with my carb heavy main;;;;
219;how do you run out of sides so early in the evening?;;;;
220;service not so great;;;;
221;i'd avoid coming here on wednesdays;;;;
222;our family loves the food here;;;;
223;quick friendly delicious and a great restaurant to take kids to;;;;
224;5 stars!;;;;
225;if you are looking for the best pierogies in pittsburgh this is your place;;;;
226;there are a few small tables outside but most of the business is carry out;;;;
227;pierogies plus wins best pierogies every year;;;;
228;why? because the owner is from poland and she is making the real deal pierogies;;;;
229;the best part is that they are hand pinched by a group of older polish and hungarian women;;;;
230;the biggest seller is potato and cheese but they sell many flavors;;;;
231;they are like plump pillows of softness;;;;
232;you can buy them buy the dozen;;;;
233;you can get them cold to take home and freeze or warm and ready to eat;;;;
234;the warm ones are served with butter and onions;;;;
235;it's definitely a comfort food;;;;
236;the best part is that they ship internationally;;;;
237;yes they are that good;;;;
238;the food is always good and the prices are reasonable;;;;
239;although it's not exactly a restaurant -- more like a snack bar limited menu and you walk up to the counter place your order wait a minute or so for them to prepare your order and pay the cashier then search for a table;;;;
240;kind of like a sandwich shop;;;;
241;still a much better choice for value than the other hotel deli's on the strip;;;;
242;pick any meat on the planet and the chef will make a mexican style dish with amazing flavor! wow fish and lamb tacos to die for;;;;
243;drinks are great as well;;;;
244;great food great service;;;;
245;obviously fried chicken isn't the healthiest food on earth but once a month i get that craving for good fried chicken;;;;
246;their chicken is great doesn't seem too fatty and their sides are excellent too;;;;
247;plumbsmart provided superior service from beginning to end;;;;
248;they were able to repair a badly damaged sewer pipe with only one day's notice;;;;
249;i was particularly pleased with their attention to care when cleaning up the landscape after the job was completed;;;;
250;their competitive pricing and excellent service make them my first stop for all future plumbing needs;;;;
251;thank you to wayne and the whole team!;;;;
252;#NAME?;;;;
253;unfortunately i must recommend not to conduct any business with fast fix jewelry and watch repairs;;;;
254;the staff is completely unprofessional and i have never been treated so rudely in my life;;;;
255;"i was actually shocked and walked away thinking ""wow how do those people even have a job?""";;;;
256;i have never written a negative review before i usually chalk it up to someone having a bad day;;;;
257;i have worked in customer service for 10+ years and i know it is exhausting and bad days happen;;;;
258;but this is a special occasion;;;;
259;i drove 30 minutes to try to find someone who could help me repair a watch band;;;;
260;i was barely greeted upon arrival and right away felt like i was bothering them;;;;
261;"the girl behind the counter obviously just wanted me to leave the blond kid working snapped at me when i asked a question and when i re-asked in order to clarify what he said he snapped again and said ""i already told you?!?""  ""is this even authentic?""  shouting at me over his shoulder as he work on something else";;;;
262;i was shocked and just stood there put my watch away awkwardly and left with no one else saying a word to me;;;;
263;there are a lot of places that fix jewelry in this city and i will be taking my business elsewhere and recommend that people reading this review do the same;;;;
264;some places just do not deserve a loyal customer base;;;;
265;their pettuccine was fresh-made in the morning;;;;
266;it was very delicate and yummy! the owner and staffs are super kind and delightful;;;;
267;we also had veal piccata;;;;
268;it was classic! love this restaurant;;;;
269;if i can give this place no stars i would i only had their hot pot though so im not a good judge for anything besides their shabu;;;;
270;i must say quantity was small price is expensive for the quality and quantity and the taste of the soup base is bland as if they just put hot water in;;;;
271;the sauce selection is limited and not very fresh/clean from my perspective;;;;
272;i love hot pot and i would never go back again because home made hot pot can be much better than this place without even trying;;;;
273;anyways if you have a good appetite for hot pot you can do yourself a favor and skip this place because it can make you miserable!;;;;
274;this review is in regards to our experience watching superbowl 51 february 5 2017 at the westgate in the theater/auditorium;;;;
275;watch the game somewhere else;;;;
276;to those unfamiliar with the big game experience at westgate you typically would get in line to watch the superbowl in the theater portion of the hotel around 8 am on superbowl sunday;;;;
277;this line can get extremely long yet the earlier you get in line your choice of seating significantly improves;;;;
278;after waiting in line for a few hours we were notified the lower portion of the theater was reserved for paid customers who previously purchased wristbands for $100 (including alcohol and hot dogs) and instead we would be seated in the balcony portion of the theater;;;;
279;no problem something different we said;;;;
280;mistake;;;;
281;so at 1;;;;
282;30 pm we were sent upstairs to the balcony to take our seats and prepare to watch the big game at 3;;;;
283;once we take our seats one of us ( we're in a group of 8 ) will hold the seats while the rest of us will go out to the casino floor and gamble or go the the sports book and place a couple last minute bets;;;;
284;please note the patrons that leave the auditorium will receive a hand stamp or wristband to allow reentry to the theater;;;;
285;but instead;;;;
286;we were told by westgate staff that no hand stamps or wristbands would be given and we were on our own if we choose to leave and we would not be allowed back in;;;;
287;wow;;;;
288;that's right after waiting in line all morning if we wanted to go downstairs to play blackjack place a bet at the book or maybe have a bite to eat because no food was made available upstairs we would be out of luck;;;;
289;nice work westgate;;;;
290;so we were seated upstairs;;;;
291;stuck;;;;
292;with no food or soda available for purchase;;;;
293;only beer and water was sold in the balcony food counter;;;;
294;that was at 1;;;;
295;45 p;;;;
296;after vigorously complaining to westgate staff ( to ushers with yellow jackets and security with black jackets ) at 3;;;;
297;04 pm wristbands were given out;;;;
298;at 3;;;;
299;18 hot dogs and soda were made available for sale in the balcony;;;;
300;i believe this was a direct result of all the upset patrons like myself that were seated in the balcony level;;;;
301;in summary for being the biggest sportbook in las vegas this place is dysfunction and fails to satisfy the most basic request to provide food and comfort to betting patrons;;;;
302;a total mess;;;;
303;this place sucks;;;;
304;watch the big game and bet your money some where else;;;;
305;we will;;;;
306;ended up here because raku was closed and it received great ratings on yelp;;;;
307;i'm so glad i came here;;;;
308;one of the better meals i've had;;;;
309;started off with the mushroom dish and the lettuce wrap;;;;
310;both were amazing;;;;
311;the lettuce wrap is like having a flavor party in your mouth;;;;
312;also had the panang duck which was terrific;;;;
313;highly recommend all three dishes;;;;
314;one dish that wasn't so good was the seabass with drunken noodles;;;;
315;overall it was an excellent meal intimate setting and great service;;;;
316;definitely will be back;;;;
317;i tried this place because my girls are away for a month and i really wanted to try to wait until they came back because nobody can hold a candle to them but my toes were desperate;;;;
318;when i went in they were almost twice what i usually pay to begin with;;;;
319;then before starting the pedicure i specifically told them i already had gel polish on my toes;;;;
320;"they didn't tell me right then and there ""that will be an extra $5'";;;;
321;no they waited until it was time to pay and not only charged me for that but they charged me all kinds of extra fees that i didn't even ask for!  i had also informed the girl that my toenail was loose and needed gluing;;;;
322;while i was looking at my phone all of a sudden i felt this sensation and she ripped off my toenail!!!!  without even asking me!!!!!!  so then she had another girl come and put acrylic on there since the nail underneath was only 1/2 grown;;;;
323;again they didn't tell me how much this would be or even ask my permission they just charged me at the end;;;;
324;the added stone 'massage' was barely a massage!  she rubbed the stones up my lower legs a couple times and that was it;;;;
325;it lasted about 30 seconds;;;;
326;and when i asked for a design i'm used to getting a board with a bunch of designs to choose from;;;;
327;she didn't even ask me what i wanted she just painted a few lines on my two toes and then charge me 5 more dollars for that!;;;;
328;ugh i don't care how ugly my toes look next time i will never go anywhere else besides bella nails again they rock!!!!!!!  this place was appalling;;;;
329;i didn't want to make a scene so i just paid the money but i will never go back!!!!!!!;;;;
330;love this place downtown but the scottsdale location has no manners;;;;
331;sat at bar for 10 min while bartender ignored us;;;;
332;no menu no water;;;;
333;we walked out and they could have cared less;;;;
334;best chinese resto;;;;
335;highly recommended;;;;
336;5 stars;;;;
337;let us support this business;;;;
338;best in the west valley;;;;
339;trust me you wont gi wrong coming to this place;;;;
340;came here on a thursday night at 6;;;;
341;30 p;;;;
342;my friends and i had a reservation but it was not needed - the place was almost empty;;;;
343;service;;;;
344;extremely poor;;;;
345;while i enjoyed the company of my friends i would not come back to this restaurant primarily because of the poor service;;;;
346;once we were all seated we were not greeted by anyone for over half an hour and when someone did come by we asked whether we could place our orders to which he said he could not;;;;
347;he's doing something else - so we waited at least another 15 minutes before someone came to finally take our orders;;;;
348;main;;;;
349;caprese salad;;;;
350;the salad was okay - a bit salty for my liking;;;;
351;i personally did not find this dish filling so i ordered the sweet potato fries as well (see below);;;;
352;main;;;;
353;sweet potato fries (this was worth it);;;;
354;these fries were actually very delicious - crispy on the outside and soft on the inside;;;;
355;if you visit this restaurant i would recommend this particular dish especially given the price ($8) and the portion size (it was quite large - almost the size of a large plate);;;;
356;went here last weekend and was pretty disappointed;;;;
357;they did not have one thing that was pictured and recommended on yelp as being good;;;;
358;we started off with the steak grilled skewers which were just ok nothing special;;;;
359;my freind got the lasagna and i got some special chicken dish;;;;
360;they were both pretty bland and lacking that kick;;;;
361;our waitress was really nice and got the manger to switch out our dishes;;;;
362;my freind got the hamburger and i got the shrimp scampi;;;;
363;her hamburger was better then the lasagna but was still lacking flavor;;;;
364;my scampi was better then the chicken but was also still under seasoned and the noodles were a bit under cooked;;;;
365;with such a big name attached to this restaurant and going on such an empty stomach we had such high hopes;;;;
366;the service was great which is why i gave it three stars;;;;
367;this place epitomizes the rumored transformation that is in the process of taking place in pittsburgh;;;;
368;great food drinks and service but the atmosphere is second to none;;;;
369;"definitely a must visit for locals and visitors alike! you will not feel like you're in ""pittsburgh""";;;;
370;dinner was fantastic! service was great we started with the corn soup and the tuna tartare;;;;
371;we shared the filet and scallops;;;;
372;both delicious entrees! we didn't realize the steak came with potatoes and ordered two sides mac and cheese and shishito peppers;;;;
373;i thought the peppers were really hot but i'm a whimp i guess! we will definitely come back;;;;
374;they keep there appointments on time and are pretty efficient;;;;
375;however i am very disappointed in how they think that just because i am a girl that i do not know what is going on with my car's tires;;;;
376;the guy that helped me out told me that my two front tires tread was extremely low and that i would be needing two new tires in a month or two;;;;
377;he told me that he could show me the same tires i have on there now and how much they would be;;;;
378;when the i had taken my car to the other discount tire they told me it that my tread was actually still really good for how many miles i have on my car;;;;
379;when he told me the price of the two tires it was around $280;;;;
380;which i had just bought two new ones a couple months before that and they were the same price;;;;
381;so when i bought the two new tires my tire pressure light came on not that long after that;;;;
382;i honestly feel like the tires were not even new and did not look worth $280;;;;
383;met a friend for dinner there tonight;;;;
384;the server only brought us one menu;;;;
385;after she brought us a couple of cokes she didn't come to our table for 20 mins;;;;
386;after trying to get her attention a few times when she walked by we decided to just order off the bartender;;;;
387;we received the starters and the mains at the same time;;;;
388;the wings brisket and mac and cheese were alright at best;;;;
389;at this point we hadn't seen the server since she brought the food so we had to go to the bar for more napkins and refills on the cokes;;;;
390;the most we actually saw our server was when she hovered over us as we put the tip into the handheld credit card terminal;;;;
391;food was somewhere between okay and decent;;;;
392;service was somewhere between piss poor and terrible;;;;
393;another solid bbq place in calgary;;;;
394;this is definitely a great place to go if you are craving something smokey and delicious;;;;
395;i actually noticed this place because i wandered by when i was walking downtown and it's impossible to miss that lovely smokey/bbq smell if you're on the block;;;;
396;however it looks kind of like a hole in the wall;;;;
397;the entrance doesn't look like it's been updated in years and that's ok because it just adds character;;;;
398;the entire decor is wood/country (to include buffalo head on the wall) and there is also a downstairs where there is live music on the weekends;;;;
399;ok onto the food;;;;
400;i have been here a couple of times now so i think i can comment on the menu pretty well;;;;
401;my friends and i have ordered the brisket the catfish the veggie burger the mac n cheese the cesar salad the chili and the garlic fries;;;;
402;if i had to review this place based on the delicious and garliciness of their fries this would be a 5-star review hands down;;;;
403;i mean seriously vampires beware but everyone else should enjoy a-plenty;;;;
404;the portion sizes are huge so go hungry or be prepared for a to-go box (granted every time i've gone i have loved the food so much that i ate the entire meal;;;;
405;i bet at this point in time you are wondering why i am only giving this place 4 stars then? well not everything is as amazing as those garlic fries;;;;
406;the bourbon apples are fairly tasteless the chili is ok (the meat was very tough) and the service is also just ok;;;;
407;however the catfish is delightful the mac and cheese is also delicious and the brisket is quality;;;;
408;the specialty cocktails are also pretty good and the beer prices are pretty decent;;;;
409;this is a great place to go for a long lunch after dinner drink or even a weekend brunch;;;;
410;there are vegetarian options on the menu (if you can ignore the buffalo head on the wall) and i believe even a few gluten-free options as well;;;;
411;it's a fairly good place to go with a large group just make sure to call ahead;;;;
412;all in all like i said earlier a great place for good times and smokey flavor;;;;
413;one day after i satisfy my frozen yogurt craving at kiwispoon;;;;
414;i get invited out to eat frozen yogurt at piccadilly;;;;
415;a rare opportunity to truly compare the two yogurt places;;;;
416;here i tried three flavors - chocolate pumpkin and caramel sea salt;;;;
417;added toppings of brownie bits chocolate caramel turtles and mochi;;;;
418;overall i liked the yogurt better at kiwispoon;;;;
419;the frozen yogurt seems less rich in piccadilly's and the flavors are not as strong;;;;
420;the price per ounce is also marginally higher at piccadilly's;;;;
421;there are definitely pluses to piccadilly's yogurt though;;;;
422;i liked the toppings better - i thought the mochi tasted better the brownie pieces were bigger and the chocolate caramel turtles went great on ice cream;;;;
423;the chocolate caramel turtles should be a standard topping for both frozen yogurt and ice cream places;;;;
424;"also with the huge map of cleveland heights behind the cash register this feels more like an authentic ""neighborhood"" froyo joint";;;;
425;i called the number provided and same day they showed up to my residence for an inspection;;;;
426;was able to advise me of multiple broken and loose tiles on my roof and came out just a few days later and completed the repairs;;;;
427;quoted me a good price for the repairs as well;;;;
428;no complaints!;;;;
429;party of 3 ordered the fish tacos pork belly banh mi corn beef hash benedict and bam ham;;;;
430;everything was delicious esp the pork belly banh mi;;;;
431;it's tender and juicy and the baguette was nicely toasted;;;;
432;love the crispy fish taco too;;;;
433;their compliment chips and salsa were fresh and super good and crispy;;;;
434;service was excellent;;;;
435;our waitress did a great job checking up on us and serving us;;;;
436;i really want other food options too but i'm too full;;;;
437;next time i visit i will definitely come back;;;;
438;we had dinner at the bellagio buffet last night;;;;
439;the service was ok;;;;
440;our server was great but kind of forgot about us towards the end of our visit;;;;
441;the food was cold;;;;
442;the only good thing there was the crab legs because they're suppose to be cold and the tacos because it was freshly made;;;;
443;the food was under a single lamp that didn't heat the food at all;;;;
444;we let the server know that the food was cold and he told the manager that was in charge;;;;
445;all she did was come over to ask what the problem was and said she was going to talk to the chief;;;;
446;have no idea what actually happened though because we didn't see her after that;;;;
447;half the buffet was closed as well so there wasn't that many options;;;;
448;i must say i rather go to the rio buffet;;;;
449;for a high end casino this was a horrible experience;;;;
450;i really enjoyed my visit here;;;;
451;everything was visually appealing to me;;;;
452;ambiance was great;;;;
453;food tasted amazing;;;;
454;service was;;;;
455;no complaints at all;;;;
456;flat out fantastic!  have been here twice and the croissants are the bomb;;;;
457;can't wait until i can try other items;;;;
458;the new breakfast spot in ahwahtukee;;;;
459;the service is great as well;;;;
